#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
31.0,Green Móvil,Operador de transporte público,Operador de una de las mayores flotas eléctricas de buses de Bogotá.,Manejar de cerca,10.0,"Sus 406 buses eléctricos sirven 14 rutas del componente zonal del SITP, beneficiando a más de 100.000 usuarios diarios en 8 localidades de Bogotá,  su operación depende por completo de esta infraestructura.",6.0,"Opera desde el Centro Logístico Green Móvil, el patio taller de buses eléctricos más grande de Latinoamérica, generando más de 1.100 empleos formales directos.",5.0,"Opera 406 buses eléctricos en 14 rutas de Bogotá, una cifra concreta y de gran escala que demuestra ejecución real, no potencial, dentro del sistema de transporte público de la ciudad.",10.0,"Su operación completa depende por completo de patios de carga y de la disponibilidad de infraestructura energética — sin electromovilidad, la empresa simplemente no puede funcionar, lo que la convierte en el nivel más alto de urgencia posible.",5.0,"Mantiene relación permanente con autoridades, empresas energéticas y proveedores tecnológicos para sostener la operación diaria de su flota, una coordinación constante y necesaria para su funcionamiento.",6.0,"Programa activo 2026 de formación y contratación de mujeres conductoras, con alianza institucional y declaraciones explícitas de enfoque de género de su gerencia.",transmilenio.gov.co/comunicaciones/noticias-de-transmilenio/comunicados-oficiales/100-mil-personas-se-beneficiaran-con-el-centro-logistico-de-green-movil
32.0,E-Somos,Operador de transporte público,Operador de buses eléctricos y patios asociados al sistema de Bogotá.,Mantener informado,10.0,Opera flotas eléctricas desde los primeros patios de carga de Bogotá.,5.0,"Su demanda de energía y cargadores es relevante dentro del sistema, aunque menor que la del ente gestor.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,
33.0,La Rolita,Operador de transporte público,Operadora pública distrital con flota totalmente eléctrica.,Mantener informado,10.0,Su flota de 195 buses depende de infraestructura de carga propia y operación energética continua.,4.0,"Fue creada conjuntamente por la Secretaría de Movilidad y la Secretaría de la Mujer como primer operador público de transporte de Bogotá desde 1990, un piloto institucional con respaldo político directo, no solo un caso de prueba técnica.",,,,,,,8.0,"60% de sus conductoras son mujeres, su equipo gerencial completo está conformado por mujeres, y fue creada conjuntamente con la Secretaría Distrital de la Mujer con el objetivo explícito de liderazgo femenino en el transporte",bogota.gov.co/mi-ciudad/movilidad/la-rolita-primera-operadora-de-transporte-100-electrico-en-bogota
34.0,Metro de Medellín,Operador de transporte público,Empresa pública de transporte masivo del Valle de Aburrá.,Manejar de cerca,8.0,"Forma parte del plan de la Alcaldía para reemplazar 600 buses diésel por eléctricos en los próximos años, un proyecto activo con respaldo de fondos públicos.",6.0,"Opera electromovilidad desde 2022 mediante Metroplús Línea 2, en alianza formal con la Alcaldía de Medellín, Metroplús, el Área Metropolitana y EPM.",5.0,"Opera electromovilidad de forma real desde 2022 a través de Metroplús Línea 2, en una alianza formal entre la Alcaldía de Medellín, la empresa Metro, Metroplús, el Área Metropolitana y EPM.",6.0," Forma parte del plan de la Alcaldía para reemplazar 600 buses diésel por eléctricos en los próximos años, un proyecto activo con respaldo de fondos públicos",6.0,"Su estrategia depende explícitamente de la coordinación con la Alcaldía, el Área Metropolitana y EPM",1.0,No se encontró evidencia de un programa o enfoque de género específico en su gestión de electromovilidad.,"medellin.gov.co/es/sala-de-prensa/noticias/en-medellin-ya-funciona-una-flota-100-electrica-para-la-linea-2-de-metroplus/
 https://www.elcarrocolombiano.com/movilidad/medellin-reemplazara-600-buses-diesel-a-electricos-por-una-movilidad-mas-sostenible/"
35.0,OPAIN – Aeropuerto El Dorado,Usuarios de flota y demanda de mercado,Concesionario del principal aeropuerto del país y operador de una plataforma logística de alta demanda.,Mantener informado,8.0,"Reemplazó el 100% de su flota vehicular de plataforma por eléctricos (18 vehículos, evitando 113 toneladas de CO₂/año) y renovó en 2026 su flota de buses internos a 100% eléctrica entre las tres terminales.",4.0,"Ya ejecutó el reemplazo del 100% de su flota de plataforma (18 vehículos) y renovó en 2026 su flota interna de buses a 100% eléctrica, no es una capacidad potencial, es demanda ya generada y satisfecha.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,"eldorado.aero/en/comunicados/el-dorado-estrena-flota-vehicular-100-electrica; portafolio.co, mayo 2026"
36.0,Agencia Nacional de Infraestructura – ANI,Entidad gubernamental de política y planificación,Entidad responsable de estructurar y gestionar concesiones de infraestructura de transporte.,Manejar de cerca,6.0,Su papel será relevante para extender la carga rápida fuera de las principales ciudades.,7.0,"Puede incorporar obligaciones o facilidades de carga en corredores viales, aeropuertos y áreas de servicio concesionadas.",6.0,"Tiene la facultad legal de estructurar y gestionar concesiones de infraestructura de transporte, lo que le permite incorporar obligaciones o facilidades de carga en corredores viales, aeropuertos y áreas de servicio concesionadas",5.0,"Su propia justificación institucional describe su papel como algo que ""será relevante"" para extender la carga rápida fuera de las principales ciudades ",6.0,"Su función de estructurar concesiones implica coordinación constante con concesionarios privados, operadores de corredores viales y aeropuertos ",1.0,No se identifica ningún enfoque de género en su justificación institucional.,
37.0,Bancóldex,Banca de desarrollo y financiamiento,Banco estatal de desarrollo empresarial que financia modernización productiva y transporte sostenible.,Mantener informado,8.0,"Es co-financiador directo de la misma línea de $14.800 millones, con montos de hasta $92 millones por taxi y periodo de gracia de 3 meses.",4.0,"Es co-financiador directo, junto con el Ministerio de Transporte y el FNG, de la línea de crédito de $14.800 millones para taxis eléctricos (marzo 2026), no es una capacidad genérica de crédito, es un instrumento activo y con cifra.",,,,,,,4.0,Banco de desarrollo con  línea de crédito con enfoque de género (p.ej. Bancóldex Mujer).,https://www.bancoldex.com/sobre-bancoldex/noticias-0/ministerio-de-transporte-bancoldex-y-fng-anuncian-linea-de-credito-para
38.0,FENOGE,Banca de desarrollo y financiamiento,Fondo público para eficiencia energética y fuentes no convencionales.,Mantener informado,8.0,"Identifica la electrificación del transporte como su segunda línea gruesa de inversión después de energías renovables, según su propio coordinador técnico de hidrógeno.",4.0,"Fondo creado por la Ley 1715 de 2014, reglamentado por el Ministerio de Minas y Energía; reporta haber llevado energía limpia y movilidad sostenible a más de 139.000 colombianos durante el actual gobierno.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,fenoge.gov.co/quienes-somos/
39.0,Financiera de Desarrollo Nacional,Banca de desarrollo y financiamiento,Entidad especializada en estructuración y financiación de infraestructura.,Mantener informado,8.0,"Obtuvo un crédito de USD 138,5 millones del BID específicamente para electromovilidad, energías renovables e infraestructura sostenible, la primera vez que Colombia accede a financiamiento concesional de esta magnitud para transición energética.",4.0,"Puede estructurar esquemas para electroterminales, corredores y proyectos público-privados de gran escala.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,https://www.semana.com/economia/capsulas/articulo/financiera-de-desarrollo-nacional-impulsa-la-transicion-energetica-con-nuevos-recursos-para-proyectos-sostenibles-en-colombia/202514/
40.0,Fondo Nacional de Garantías,Banca de desarrollo y financiamiento,Entidad que respalda créditos para empresas y proyectos mediante garantías.,Mantener informado,8.0,"Ha estructurado condiciones diferenciadas específicamente para taxis eléctricos a través de su estrategia FNG Territorios, no solo ""acompañado"" líneas de crédito genéricas.",4.0,"Respalda directamente la línea de crédito de $14.800 millones para taxis eléctricos (Bancóldex-MinTransporte-FNG, marzo 2026), subsidiando el 100% de la comisión de garantía a través de su estrategia FNG Territorios.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,
41.0,BID Invest,Cooperación internacional y organismos multilaterales,Brazo de inversión privada del Grupo BID.,Mantener informado,8.0,"Su primera inversión global en movilidad eléctrica fue en Colombia: US$134 millones (junto a UK SIP y BNP Paribas) para financiar 401 buses eléctricos de Enel X en Fontibón y Usme, más el 100% de la asesoría técnica para gestión de baterías.",4.0,"Actuó como joint lead bookrunner y joint lead arranger del financiamiento de US$134 millones para 401 buses eléctricos, un rol de liderazgo financiero documentado, no solo capacidad potencial.",,,,,,,7.0,"Fondo de Género, Diversidad e Inclusión de USD 200M y Gerencia de Género dedicada.","https://idbinvest.org/es/medios-y-prensa/bid-invest-y-enel-x-unen-fuerzas-para-impulsar-la-electromovilidad-en-colombia
https://idbinvest.org/es/medios-y-prensa/bid-invest-y-enel-x-unen-fuerzas-para-impulsar-la-electromovilidad-en-colombia"
42.0,Banco Interamericano de Desarrollo,Cooperación internacional y organismos multilaterales,"Organismo multilateral que financia políticas, banca de desarrollo y movilidad sostenible.",Mantener informado,8.0,"Otorgó a la Financiera de Desarrollo Nacional un crédito de USD 138,5 millones específicamente para electromovilidad, energías renovables e infraestructura sostenible en Colombia (sept. 2025), la primera financiación concesional de esta magnitud para transición energética en el país.",4.0,"Otorgó a la FDN el primer crédito concesional de esta magnitud en Colombia para transición energética. Poder de fijar condiciones financieras preferenciales, no solo ""apoyo"" genérico.",,,,,,,7.0,"Grupo de trabajo formal de Género, Diversidad, Equidad e Inclusión con reporte a Gobernadores.",https://www.semana.com/economia/capsulas/articulo/financiera-de-desarrollo-nacional-impulsa-la-transicion-energetica-con-nuevos-recursos-para-proyectos-sostenibles-en-colombia/202514/
43.0,CAF,Cooperación internacional y organismos multilaterales,Banco de desarrollo regional con experiencia en infraestructura y transporte urbano.,Mantener informado,8.0,"Aprobó US$2.478 millones para diez países de América Latina y el Caribe, incluida Colombia, y ya ha financiado directamente la electrificación de flotas de transporte en Bogotá.",4.0,"Aprobó US$2.478 millones para 10 países de la región en diciembre reciente, con asignación ya definida a electrificación de flotas urbanas.",,,,,,,7.0,"Gerencia de Género, Inclusión y Diversidad, bonos de género, Sello de Igualdad de Género.",https://mobilityportal.lat/financiamiento-internacional-buses-electricos/
44.0,Colombia Inteligente,Gremio o asociación sectorial,Asociación que articula empresas y entidades alrededor de redes inteligentes y transición energética.,Mantener informado,8.0,Sus lineamientos de interoperabilidad (interfaces HES/Concentrador-Gateway) están diseñados específicamente para integrar la carga de vehículos eléctricos a la red.,4.0,"Es una alianza estratégica formal de empresas y entidades del sector eléctrico colombiano que publica lineamientos técnicos de interoperabilidad de redes (incluyendo interfaces HES/Concentrador-Gateway), relevantes para la integración de la carga de vehículos eléctricos a la red.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,https://colombiainteligente.org/es_co/
45.0,ANDI,Gremio o asociación sectorial,"Gremio empresarial con cámaras vinculadas a energía, automotores, logística e industria.",Mantener informado,6.0,"Su interés es relevante, aunque la infraestructura de carga es solo una parte de una agenda empresarial más amplia.",4.0,"Presentó 46 observaciones formales sobre 21 artículos del borrador del plan gubernamental de ensamblaje de vehículos eléctricos (mayo 2026), exigiendo reglas claras de integración nacional e incentivos tributarios.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,https://www.infobae.com/colombia/2026/05/29/gobierno-petro-presento-un-ambicioso-plan-para-que-en-colombia-se-ensamblen-carros-electricos-los-gremios-piden-cambios-en-las-reglas/
46.0,ANDEMOS,Gremio o asociación sectorial,Asociación del sector automotor y de movilidad sostenible.,Mantener informado,8.0,"Creó una Cámara Nacional de Vehículos Híbridos y Eléctricos dedicada exclusivamente a este segmento, y publica cifras oficiales de matrículas (51.891 vehículos híbridos/eléctricos en 2024, +64,7% frente a 2023).",4.0,"Creó una Cámara Nacional dedicada exclusivamente a vehículos híbridos y eléctricos, con directores propios y agenda propia de incidencia.",,,,,,,1.0,Sin mención de política de género en su descripción institucional.,"https://www.larepublica.co/andemos
 https://www.andemos.org/"
47.0,ONU Mujeres Colombia,"Género, inclusión y equidad",Entidad de Naciones Unidas que promueve la igualdad de género y la participación económica de las mujeres en sectores estratégicos y de transición sostenible.,Mantener informado,8.0,"Promueve activamente la inclusión de mujeres en sectores tradicionalmente masculinizados, incluyendo energía, transporte y tecnologías para la transición energética.",5.0,"Cuenta con capacidad de incidencia técnica y articulación con entidades públicas, organismos de cooperación y programas de desarrollo, aunque no tiene funciones regulatorias ni ejecutivas sobre infraestructura de carga.",,,,,,,9.0,Su misión institucional completa es la igualdad de género.,
48.0,Women in Energy Colombia (WEC),"Género, inclusión y equidad",Red profesional que impulsa el liderazgo y la participación de mujeres en el sector energético colombiano.,Mantener informado,9.0,"La inclusión de mujeres en energía, infraestructura y transición energética constituye el núcleo de su misión institucional.",4.0,"Tiene capacidad de articulación entre empresas, academia y sector público, aunque su capacidad de decisión directa es limitada.",,,,,,,9.0,Su misión institucional completa es la participación de mujeres en energía.,
