#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
22.0,Banco Nacional de Obras y Servicios Públicos (BANOBRAS),Banca de desarrollo y financiamiento,Banco de desarrollo federal enfocado en infraestructura pública.,Mantener satisfecho,5.0,Identificado explícitamente junto con NAFIN y la banca comercial como fuente de financiamiento ya disponible para proyectos de electromovilidad en México.,6.0,"Controla líneas de crédito específicas para infraestructura pública, un insumo indispensable para proyectos de carga a gran escala.",,,,,,,8.0,La entidad incorpora lineamientos institucionales de igualdad de género derivados de las políticas públicas federales y de los estándares aplicables a la banca de desarrollo.,https://www.tyt.com.mx/nota/mexico-debe-integrar-transporte-infraestructura-y-energia-para-acelerar-la-electromovilidad-17-cit
23.0,Banco Interamericano de Desarrollo (BID),Cooperación internacional y organismos multilaterales,Banco multilateral de desarrollo que financia proyectos de infraestructura en América Latina.,Mantener informado,6.0,"Su fondo BID-LAB (junto con la Unión Europea) financió un Estudio de Mercado de Vehículos Eléctricos en México, insumo técnico usado por el sector.",4.0,"Junto con KfW y Banco Mundial, alista líneas de financiamiento específicas para movilidad eléctrica, con capacidad de condicionar fondos a criterios técnicos y de sostenibilidad.",,,,,,,10.0,"La igualdad de género constituye una prioridad transversal del banco, con estrategias, metodologías, asistencia técnica e indicadores específicos aplicados a los sectores de infraestructura, transporte y energía.","https://portalmovilidad.com/kfw-banco-mundial-y-el-bid-alistan-lineas-para-financiar-movilidad-electrica-en-mexico/ 
https://labmexico.com/wp-content/uploads/2025/10/Estudio_de_Mercado_VE_BID-LAB_UE.pdf
"
24.0,Asociación Mexicana de Impulso al Vehículo Eléctrico (AMIVE),Gremio o asociación sectorial,Asociación de la industria enfocada en la promoción del vehículo eléctrico en México.,Mantener informado,8.0,Su razón de ser es exclusivamente la promoción del vehículo eléctrico; participó de forma directa en la elaboración de la primera regulación de electromovilidad de la CRE.,5.0,"Tiene un rol consultivo formal reconocido por el regulador (participó en el proceso de la DACG), aunque sin capacidad de emitir normas por sí misma.",,,,,,,4.0,"La asociación concentra su labor en la promoción de la movilidad eléctrica y el desarrollo del sector, con una incorporación limitada de iniciativas específicas de género.",https://www.gob.mx/cre/prensa/presenta-cre-la-primera-regulacion-de-electromovilidad-en-mexico?idiom=es
25.0,Instituto de Ingeniería de la UNAM,Academia e investigación,Centro de investigación técnica de la Universidad Nacional Autónoma de México.,Mantener informado,7.0,"Participó directamente en la elaboración de la regulación de electromovilidad de la CRE, aportando el respaldo académico-técnico al marco normativo de infraestructura de carga.",4.0,"Su participación fue como asesor técnico reconocido en el proceso regulatorio, sin facultad de decisión, pero con influencia técnica sobre el contenido final de la norma.",,,,,,,7.0,"Participa en iniciativas de formación e investigación orientadas a ampliar la participación de mujeres en disciplinas STEM, aunque no es un foco principal de su actividad.",https://www.gob.mx/cre/prensa/presenta-cre-la-primera-regulacion-de-electromovilidad-en-mexico?idiom=es
26.0,Secretaría de Hacienda y Crédito Público (SHCP),Entidad gubernamental de política y planificación,Secretaría de Estado responsable de la política fiscal y presupuestal de México.,Mantener satisfecho,3.0,"Copresentó la primera regulación de electromovilidad junto con la CRE, pero su interés temático en electromovilidad es indirecto (fiscal/presupuestal), no sectorial.",8.0,Como autoridad fiscal y presupuestal federal tiene poder sobre cualquier incentivo fiscal o presupuesto público destinado al sector.,,,,,,,7.0,"Aplica lineamientos gubernamentales de igualdad y presupuestación con perspectiva de género, pero su papel se centra principalmente en la política fiscal y financiera.",https://www.gob.mx/cre/prensa/presenta-cre-la-primera-regulacion-de-electromovilidad-en-mexico?idiom=es
27.0,Comisión Nacional de Mejora Regulatoria (CONAMER),Entidad gubernamental reguladora,Órgano encargado de la mejora regulatoria del Gobierno Federal mexicano.,Mantener satisfecho,2.0,"Participó en la elaboración de la regulación de electromovilidad de la CRE por su mandato transversal de revisión regulatoria, no por un interés temático específico en el sector.",6.0,"Tiene la facultad de revisar y emitir observaciones formales sobre cualquier propuesta regulatoria antes de su publicación en el DOF, incluida la de electromovilidad.",,,,,,,4.0,"Su función principal es la mejora regulatoria y simplificación administrativa, con una vinculación indirecta a la agenda de género.",https://www.hklaw.com/es/insights/publications/2024/02/cre-publica-anteproyecto-en-conamer-en-materia-de-electromovilidad 
28.0,Comisión Federal de Competencia Económica (COFECE),Entidad gubernamental reguladora,Órgano autónomo encargado de garantizar la libre competencia económica en México.,Mantener satisfecho,3.0,Participó en la elaboración de la regulación de electromovilidad de la CRE por su mandato de vigilar la competencia en el mercado nuevo de venta de energía para carga de VE.,6.0,Tiene facultad legal para investigar y sancionar prácticas  en el mercado emergente de infraestructura de carga.,,,,,,,4.0,"La institución promueve igualdad de oportunidades dentro de su estructura organizacional, aunque la perspectiva de género no constituye una línea prioritaria de actuación externa.","https://www.cmic.org.mx/sectores/electrica/noticmic.cfm?seleccion=1122  
https://www.hklaw.com/es/insights/publications/2024/09/comision-reguladora-de-energia-publica-dacgs-en-materia"
29.0,"Consejo Nacional de Humanidades, Ciencias y Tecnologías (CONAHCYT)",Formación y desarrollo de capacidades,Entidad de ciencia y tecnología del Estado mexicano.,Hacer seguimiento,3.0,"Participó en la elaboración de la regulación de electromovilidad de la CRE como entidad de ciencia y tecnología, con un rol consultivo más que ejecutor.",4.0,Su poder es limitado al ámbito de asesoría científico-técnica; no tiene atribuciones regulatorias directas sobre el sector eléctrico o automotriz.,,,,,,,9.0,"Mantiene programas y líneas de acción orientadas al fortalecimiento de la participación de mujeres en ciencia, tecnología e innovación, representando uno de los actores más activos en esta materia.","https://iprc.celaya.tecnm.mx/labnace.html
"
30.0,Secretaría de Economía,Entidad gubernamental de política y planificación,Secretaría de Estado responsable de la política industrial y comercial de México.,Mantener satisfecho,4.0,Declara públicamente sobre la necesidad de infraestructura de carga sólida.,6.0,"Tiene facultad sobre política industrial y comercio exterior, relevante para aranceles a vehículos e insumos de la cadena de electromovilidad.",,,,,,,9.0,"Ha impulsado programas de emprendimiento, desarrollo empresarial y participación económica de las mujeres, con capacidad para incorporar estos enfoques en la política industrial.",https://www.eluniversal.com.mx/tendencias/autos-electricos-en-mexico-60-millones-para-2040-presionaran-al-sistema-electrico/
31.0,Secretaría de Medio Ambiente y Recursos Naturales (SEMARNAT),Entidad gubernamental de política y planificación,Secretaría de Estado responsable de la política ambiental de México.,Mantener satisfecho,4.0,"Elaboró la Estrategia Nacional de Movilidad Eléctrica (ENME, concluida en 2018) y es miembro fundador de la Alianza por la Electromovilidad en México.",6.0,"Tiene facultad normativa en materia ambiental (emisiones, gestión de residuos de baterías), pero su interés cotidiano en electromovilidad es uno más entre múltiples agendas ambientales.",,,,,,,8.0,"Integra criterios de igualdad, inclusión y justicia climática en diversos instrumentos de política ambiental y desarrollo sostenible.",https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf 
32.0,Comisión Nacional para el Uso Eficiente de la Energía (CONUEE),Entidad gubernamental reguladora,Órgano técnico federal enfocado en eficiencia energética.,Mantener satisfecho,4.0,"Trabaja de manera conjunta con SENER cada tres años en la actualización de la Estrategia de Transición, verificando que las líneas de acción de electromovilidad sigan vigentes.",7.0,"Es la entidad que elabora y publica los documentos técnicos oficiales sobre electromovilidad (incluido el 'cuaderno' citado en esta matriz), con influencia técnica sobre la política pública.",,,,,,,4.0,"Su actividad se enfoca principalmente en eficiencia energética y regulación técnica, con una integración limitada de políticas de género dentro de su agenda sectorial.","https://mobilityportal.lat/mexico-estrategia-transicion-movilidad/
https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf
"
33.0,Banco Mundial,Cooperación internacional y organismos multilaterales,Institución financiera internacional multilateral.,Mantener satisfecho,4.0,"Junto con KfW y BID, alista líneas de financiamiento para movilidad eléctrica en México, con un rol de banca de segundo piso más que de intervención directa en proyectos.",6.0,Su capacidad de otorgar o condicionar financiamiento multilateral le da influencia estructural sobre los términos de los proyectos que apoya.,,,,,,,10.0,"Cuenta con una de las agendas más consolidadas de igualdad de género a nivel internacional, incorporando indicadores, requisitos y asistencia técnica específica en proyectos de transporte, energía e infraestructura.",https://portalmovilidad.com/kfw-banco-mundial-y-el-bid-alistan-lineas-para-financiar-movilidad-electrica-en-mexico/
34.0,KfW (banca de desarrollo alemana),Cooperación internacional y organismos multilaterales,"Banco de desarrollo del gobierno federal alemán, activo en cooperación internacional.",Mantener informado,6.0,"Sella alianza con NAFIN para financiar sustitución de flotas (de taxis a camiones de 3,5 toneladas) en México y Latinoamérica, con foco en electromovilidad y tecnologías de transición.",4.0,"Aporta capital y condiciones técnicas (digitalización, enfoque de género, accesibilidad) a los proyectos que cofinancia junto con NAFIN.",,,,,,,9.0,"La igualdad de género constituye un eje transversal de la estrategia de desarrollo sostenible de KfW, incorporando salvaguardas, indicadores y criterios de inclusión en sus programas de financiamiento e inversión.","https://latamobility.com/bid-kfw-nafin-santander-y-zeroca-protagonizan-el-financiamiento-para-inversiones-sostenibles-en-transporte-limpio
"
35.0,Santander México,Banca de desarrollo y financiamiento,Banco comercial privado con operaciones en México.,Mantener satisfecho,4.0,"Ofrece créditos verdes para VE, flotillas e infraestructura, con crecimiento de 14% entre 2024 y 2025.",6.0,Como banco comercial líder define condiciones de acceso al crédito privado para consumidores y empresas del sector.,,,,,,,8.0,"La entidad impulsa programas de liderazgo femenino, inclusión financiera y emprendimiento para mujeres, alineados con sus compromisos globales de banca responsable.",https://www.elfinanciero.com.mx/transporte-y-movilidad/2025/10/01/electromovilidad-en-mexico-avances-retos-y-financiamiento/
36.0,Electro Movilidad Asociación México,Gremio o asociación sectorial,Asociación de la industria formada por fabricantes (incluye a Tesla y BYD) para promover la electromovilidad.,Mantener informado,9.0,Fue creada específicamente para colaborar con autoridades y superar las barreras de adopción del VE,3.0,"Es una asociación gremial de reciente creación, con capacidad de interlocución pero sin atribuciones regulatorias ni presupuestales propias.",,,,,,,4.0,"Su actividad principal está orientada al desarrollo del ecosistema de electromovilidad, con escasa evidencia de programas específicos de género como parte de su agenda sectorial.",https://vanguardia.com.mx/dinero/se-alian-tesla-byd-y-otras-empresas-en-mexico-para-impulsar-la-electromovilidad-IE11265481
37.0,Asociación Mexicana de la Industria Automotriz (AMIA),Gremio o asociación sectorial,Cámara que agrupa a las empresas armadoras de vehículos en México.,Mantener informado,6.0,Miembro fundador de la Alianza por la Electromovilidad en México y fuente oficial de datos de ventas de vehículos híbridos y eléctricos citados por el Gobierno Federal.,4.0,"Tiene capacidad de interlocución gremial reconocida por el gobierno, pero no facultad normativa ni presupuestal directa sobre infraestructura de carga.",,,,,,,7.0,"Ha participado en iniciativas sectoriales vinculadas a diversidad e inclusión laboral, aunque la agenda de género no constituye uno de sus principales ejes estratégicos.",https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf
38.0,Copper Alliance,Gremio o asociación sectorial,Asociación internacional de la industria del cobre.,Mantener informado,6.0,"Miembro de la Alianza por la Electromovilidad en México; el cobre es insumo crítico de cargadores, cableado y motores eléctricos, por lo que su interés en el crecimiento del sector es directo.",2.0,"Su participación es de carácter gremial-sectorial, sin ninguna atribución regulatoria ni presupuestal sobre la política de electromovilidad mexicana.",,,,,,,4.0,"La organización promueve el desarrollo sostenible de la industria del cobre, pero no presenta una agenda destacada de género en comparación con otros actores del ecosistema.",https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf
39.0,Cámara Nacional de Manufacturas Eléctricas (CANAME),Gremio o asociación sectorial,Cámara que representa a los fabricantes de equipos eléctricos en México.,Mantener informado,6.0,"Miembro de la Alianza por la Electromovilidad en México, representando a los fabricantes de equipos eléctricos con interés directo en el crecimiento del mercado de cargadores.",3.0,"Es una cámara gremial con capacidad de representar a sus agremiados ante el gobierno, pero sin poder de decisión regulatoria.",,,,,,,7.0,"Promueve buenas prácticas empresariales y fortalecimiento del sector manufacturero, incluyendo acciones relacionadas con diversidad y desarrollo del talento.",https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf
40.0,Walmart México,Usuarios de flota y demanda de mercado,Cadena minorista con una amplia red de centros de distribución y flota logística propia.,Mantener informado,6.0,"Incorporó más de 4,000 vehículos de reparto eléctricos a su flota y ya electrificó 40% de sus camiones de patio en centros de distribución, como parte de su meta de reducir 18% sus emisiones para 2030.",4.0,"Su influencia deriva del volumen de su operación logística (19 centros de distribución) y su capacidad de compra, pero no incide en el marco regulatorio del sector.",,,,,,,8.0,"Cuenta con programas robustos de diversidad, equidad e inclusión, metas de representación femenina y mecanismos institucionalizados para promover el liderazgo de mujeres.","https://thelogisticsworld.com/actualidad-logistica/walmart-comprara-4-mil-500-vehiculos-de-reparto-electricos/
https://ganar-ganar.mx/2026/04/16/amazon-dhl-ikea-ups-walmart-schneider-electric-fedex-y-pepsico-ya-operan-con-flotas-mas-limpias-como-parte-de-su-estrategia-logistica/"
41.0,DHL México,Usuarios de flota y demanda de mercado,Empresa de mensajería y logística con operación de última milla en México.,Mantener informado,6.0,"Inició un programa piloto de camionetas eléctricas en Ciudad de México y Guadalajara para rutas de última milla, con ahorros reportados del 60% en costos de combustible.",3.0,"Su influencia se limita a su propia operación logística (programa piloto), sin capacidad de incidir en decisiones de política pública o regulación del sector.",,,,,,,8.0,"Mantiene estrategias corporativas globales de diversidad e inclusión, con programas específicos para fortalecer la participación y el liderazgo femenino en logística y transporte.",https://thelogisticsworld.com/actualidad-logistica/electrificacion-de-flotas-el-futuro-del-transporte-de-mercancias-en-mexico-hacia-2025/
42.0,Grupo Bimbo,Usuarios de flota y demanda de mercado,Empresa panificadora mexicana con operación logística de distribución a gran escala.,Hacer seguimiento,4.0,"Identificado como pionero mexicano en la adopción de flotas eléctricas para distribución, dentro del movimiento de electrificación de flotas corporativas rumbo a 2025.",3.0,"Su peso es el de un gran usuario corporativo de vehículos eléctricos, sin ninguna atribución sobre la política pública de electromovilidad.",,,,,,,8.0,"La compañía ha desarrollado políticas corporativas de diversidad e inclusión, impulsando programas para incrementar la participación de mujeres en distintos niveles organizacionales.",https://thelogisticsworld.com/actualidad-logistica/electrificacion-de-flotas-el-futuro-del-transporte-de-mercancias-en-mexico-hacia-2025/
43.0,World Resources Institute México (WRI México),Sociedad civil y think tanks,Organización no gubernamental de investigación en sostenibilidad y ciudades.,Mantener informado,7.0,Desarrolló junto con la CFE el estudio técnico que identificó los 10 corredores carreteros prioritarios (8 estratégicos y 2 turísticos) para el despliegue de 200 estaciones de carga.,3.0,Su rol es de investigación técnica y asesoría; no cuenta con atribuciones regulatorias ni presupuestales propias sobre el sector energético o de transporte.,,,,,,,9.0,"La organización incorpora de manera sistemática enfoques de género e inclusión en proyectos de movilidad sostenible, transición energética y desarrollo urbano.",
44.0,Megaflux,Empresa de retrofit y tecnología vehicular,Empresa mexicana del sector de infraestructura de carga de vehículos eléctricos.,Mantener informado,6.0,"Participó activamente en la elaboración de la primera regulación de electromovilidad de la CRE, aportando su experiencia técnica de mercado y celebrando públicamente el nuevo marco normativo.",3.0,"Es una empresa del sector con voz reconocida en el proceso consultivo de la CRE, pero sin capacidad de decisión regulatoria propia.",,,,,,,4.0,"La empresa concentra sus esfuerzos en innovación tecnológica y electrificación vehicular, con evidencia limitada de programas estructurados de igualdad de género.",
45.0,Solar Beat,Empresa de energía e infraestructura de carga,Empresa privada mexicana que despliega infraestructura de carga a nivel nacional.,Mantener informado,6.0,"Señalada como una de las empresas líderes en el despliegue de una red de carga robusta a nivel nacional, mejorando la tecnología para ofrecer cargas más rápidas y eficientes.",2.0,"Su influencia es puramente comercial/tecnológica en el segmento privado, sin ninguna atribución sobre normatividad o política pública.",,,,,,,4.0,"Su enfoque principal está orientado a soluciones energéticas e infraestructura, sin una agenda destacada de género dentro de sus actividades visibles.",https://solarbeat.mx/blogs/solar-beat-blog/infraestructura-de-carga-en-mexico-estamos-listos
46.0,Instituto Nacional de Electricidad y Energías Limpias (INEEL),Academia e investigación,Instituto público de investigación en electricidad y energías limpias.,Hacer seguimiento,4.0,Miembro de la Alianza por la Electromovilidad en México; instituto de investigación con interés técnico permanente en el desarrollo del sector.,2.0,"Su función es de investigación técnica de apoyo; no tiene facultades regulatorias, presupuestales ni de decisión directa sobre la política de electromovilidad.",,,,,,,7.0,"Desarrolla iniciativas de investigación y formación técnica alineadas con políticas públicas de igualdad, aunque el enfoque de género no constituye un eje central de su misión.",https://www.gob.mx/cms/uploads/attachment/file/857010/cuaderno_ELECTROMOVLIDAD_EN_M_XICO.pdf
47.0,Gobierno del Estado de México,Entidad gubernamental de política y planificación,Gobierno estatal del Estado de México.,Mantener satisfecho,3.0,"Aparece como territorio de expansión de redes de carga privadas (ej. Soriana) y participa en documentos de movilidad estatal, pero sin un programa propio de infraestructura de carga documentado con fuente verificable específica.",6.0,"Como gobierno estatal tiene facultades locales de ordenamiento territorial y movilidad, relevantes para permisos de instalación de infraestructura de carga.",,,,,,,8.0,"Implementa programas estatales de igualdad sustantiva y transversalización del enfoque de género en la gestión pública, con capacidad de incidencia territorial.",https://efinf.com/clipviewer/b0c68aef6460d382121e30b76ed60010 ; https://www.ecoportal.net/motor/mexico-estaciones-de-carga-rapida-soriana/
48.0,C40 Cities,Cooperación internacional y organismos multilaterales,Red global de ciudades comprometidas con la acción climática.,Hacer seguimiento,4.0,"Participa como socio de la Iniciativa Laneshift junto con la CDMX y Nafin/Bancomext, para acelerar el financiamiento y despliegue de infraestructura de recarga en la capital.",3.0,Su rol es de acompañamiento técnico y de red internacional de ciudades; no tiene facultad de decisión sobre la política nacional o local de electromovilidad.,,,,,,,9.0,"La organización promueve activamente los principios de transición justa, inclusión y equidad de género en las políticas de movilidad, clima y desarrollo urbano.",https://efinf.com/clipviewer/b0c68aef6460d382121e30b76ed60010
49.0,Mercado Libre,Usuarios de flota y demanda de mercado,Empresa de comercio electrónico con operación logística de última milla en México.,Hacer seguimiento,3.0,"Anunció inversiones en vehículos eléctricos para última milla como parte de su estrategia de responsabilidad social empresarial (RSE), priorizando la reducción de su huella de carbono.",3.0,"Su peso es el de un usuario corporativo más dentro del ecosistema logístico, con interés reputacional/RSE más que estructural en la infraestructura de carga pública.",,,,,,,8.0,Ha fortalecido programas de diversidad e inclusión con metas específicas para incrementar la participación y desarrollo profesional de mujeres en sectores tecnológicos y logísticos.,https://thelogisticsworld.com/actualidad-logistica/electrificacion-de-flotas-el-futuro-del-transporte-de-mercancias-en-mexico-hacia-2025/
50.0,IMCO (Instituto Mexicano para la Competitividad),Sociedad civil y think tanks,"Centro de investigación y análisis de políticas públicas mexicano, independiente y sin fines de lucro, enfocado en temas de competitividad económica. Opera en alianza formal con INMUJERES y ONU Mujeres México el ""Monitor Mujeres en la Economía"", plataforma con más de 40 indicadores sobre participación económica femenina a nivel nacional, estatal y municipal.",Mantener informado,6.0,"Genera evidencia pública específica y actualizada sobre brechas de género en manufactura (documenta que en México las mujeres ganan 86 pesos por cada 100 que gana un hombre, y que su participación económica general es de 46% vs. 77% de los hombres), insumo directo para cualquier política de inclusión laboral en la naciente industria de electromovilidad.",3.0,"Es una organización de la sociedad civil sin facultad regulatoria ni presupuestal. Su influencia es de generación de evidencia e incidencia pública, no de ejecución directa. ",,,,,,,8.0,Ha desarrollado investigaciones y recomendaciones de política pública orientadas a reducir brechas de participación económica y laboral de las mujeres.,"https://imco.org.mx/datos-y-propuestas-por-la-igualdad/
https://imco.org.mx/monitor-mujeres-en-la-economia/ "
51.0,"México, ¿Cómo Vamos?",Sociedad civil y think tanks,"Organización de la sociedad civil mexicana dedicada al monitoreo de indicadores económicos, con un propósito específico de ""Mercado laboral y brechas de género"".",Mantener informado,7.0,"Publicó un análisis sobre la baja participación de mujeres en la industria automotriz mexicana (37% de la fuerza laboral, según datos del INEGI) y en carreras STEM afines (menos de 8% en ingeniería de vehículos), diagnóstico directamente aplicable a la fuerza laboral que requerirá la industria de Taruk, Olinia y el ensamblaje de VE.",3.0,"Es un observatorio ciudadano de datos, sin capacidad de ejecución de política pública, pero con alta credibilidad técnica",,,,,,,7.0,"Incorpora análisis e indicadores relacionados con participación laboral, ingresos y brechas económicas de género dentro de sus líneas de investigación.",https://mexicocomovamos.mx/animal-politico/2024/10/la-participacion-de-las-mujeres-en-la-industria/
52.0,INMUJERES (Instituto Nacional de las Mujeres),"Género, inclusión y equidad","Instituto federal mexicano rector de la política nacional de igualdad entre mujeres y hombres, adscrito al gobierno federal. ",Mantener satisfecho,4.0,"Su mandato es transversal a toda la economía (no específico de electromovilidad ni manufactura), pero mantiene el sistema oficial de indicadores que documenta la brecha de participación laboral femenina (44 de cada 100 mujeres participan en actividades económicas vs. 78 de cada 100 hombres), dato base para cualquier diagnóstico sectorial, incluida la industria automotriz emergente.",6.0,"Como instituto federal, tiene la facultad de coordinar la política nacional de igualdad de género entre dependencias, y puede incidir en el diseño de programas de empleo con perspectiva de género si el gobierno decide vincular electromovilidad con esta agenda.",,,,,,,10.0,"Es la entidad rectora de la política nacional de igualdad de género y el principal actor institucional para promover, coordinar y monitorear acciones orientadas al cierre de brechas.",https://imco.org.mx/datos-y-propuestas-por-la-igualdad/
