#,Actor,Alcance,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero
28.0,RED Movilidad,Chile, Autoridad de transporte público,Sistema integrado de transporte público de Santiago que coordina gran parte de las operaciones de buses urbanos de la ciudad. Su participación es estratégica debido a su experiencia en electrificación de flotas y capacidad para evaluar soluciones de retrofit aplicables a sistemas de transporte público de gran escala.,Mantener satisfecho,6.0,Es uno de los principales sistemas de transporte urbano de América Latina y un potencial usuario directo de estrategias que permitan acelerar la reducción de emisiones de sus flotas.,8.0,Coordina uno de los sistemas de buses urbanos más importantes de la región y puede influir significativamente en los criterios tecnológicos de las futuras adquisiciones y modernizaciones de flota.,,,,,,,8.0,"El sistema chileno ha desarrollado avances importantes en inclusión, accesibilidad y participación femenina dentro de la operación de buses urbanos, convirtiéndose en una referencia regional."
29.0,DTPM - Directorio de Transporte Público Metropolitano,Chile, Autoridad de transporte público,"Entidad responsable de planificar, gestionar y coordinar el transporte público metropolitano de Santiago. Su participación es relevante para definir requerimientos operativos, esquemas de renovación tecnológica y estrategias de transición energética que incorporen alternativas de retrofit en los sistemas de buses urbanos.",Mantener satisfecho,6.0,"Participa directamente en la planificación y supervisión del sistema de buses urbanos de Santiago, por lo que puede impulsar decisiones relacionadas con tecnologías de retrofit.",8.0,Tiene capacidad para definir especificaciones operativas y tecnológicas aplicables a gran parte del transporte público de Santiago.,,,,,,,8.0,"Puede incorporar requisitos de género e inclusión dentro de procesos de planificación, contratación y operación del transporte público metropolitano de Santiago."
30.0,Metro de Santiago,Chile, Operador de transporte público,"Empresa responsable de la operación de la red de metro de Santiago y actor clave en la movilidad urbana de la ciudad. Su experiencia en innovación, sostenibilidad y gestión integrada de transporte aporta conocimiento técnico y capacidades institucionales relevantes para iniciativas de modernización tecnológica y transición energética del sector transporte.",Hacer seguimiento,4.0,"Su actividad principal es ferroviaria y no depende directamente de tecnologías de retrofit para buses, por lo que su interés es principalmente indirecto dentro de la agenda de movilidad sostenible.",4.0,"Aunque es una institución influyente dentro del ecosistema de movilidad, su actividad se concentra en transporte ferroviario y su capacidad de incidencia sobre el retrofit de buses es limitada.",,,,,,,8.0,"Es uno de los referentes latinoamericanos en la incorporación de medidas de inclusión, accesibilidad y seguridad para poblaciones tradicionalmente subrepresentadas en los sistemas de transporte."
31.0,Grupo RIO Bogotá,Colombia, Operador de transporte público,"Operador del Sistema Integrado de Transporte Público de Bogotá con una de las flotas más representativas del componente zonal de la ciudad. Su participación es relevante debido a su capacidad para evaluar la viabilidad operativa, financiera y técnica de proyectos de retrofit aplicados a buses urbanos en condiciones reales de servicio.",Mantener informado,8.0,"Como operador de buses urbanos, puede beneficiarse directamente de tecnologías que permitan extender la vida útil de los vehículos y mejorar su desempeño ambiental y económico.",6.0,"Tiene capacidad para influir sobre las decisiones de modernización de su propia flota y participar en proyectos piloto, pero carece de atribuciones para modificar el marco regulatorio o las condiciones generales del mercado.",,,,,,,5.0,"Como operador privado de transporte público puede promover la contratación de mujeres conductoras, personal técnico y esquemas de inclusión laboral. Sin embargo, su capacidad para influir en políticas sectoriales de género es limitada y se concentra principalmente en su organización."
32.0,SUMA Bogotá,Colombia, Operador de transporte público,"Empresa operadora del Sistema Integrado de Transporte Público de Bogotá con experiencia en gestión y operación de flotas urbanas. Su participación es importante para identificar requerimientos operacionales, barreras de implementación y oportunidades de modernización mediante tecnologías de retrofit.",Mantener informado,8.0,"La reconversión de flotas podría generar beneficios importantes en costos operativos y sostenibilidad, aunque las decisiones finales dependen de factores regulatorios y financieros externos.",6.0,"Puede adoptar o rechazar tecnologías retrofit dentro de su operación, generando evidencia para el sector, aunque su influencia permanece principalmente en el ámbito empresarial.",,,,,,,5.0,Tiene capacidad para implementar medidas de equidad laboral y promover una mayor participación femenina en actividades tradicionalmente masculinizadas dentro de la operación de transporte urbano.
33.0,ETIB,Colombia, Operador de transporte público,Operador del Sistema Integrado de Transporte Público de Bogotá responsable de la prestación de servicios de transporte urbano. Su experiencia operativa y conocimiento del ciclo de vida de las flotas lo convierten en un actor clave para evaluar alternativas de reconversión tecnológica orientadas a extender la vida útil de los vehículos.,Mantener informado,8.0,"Como operador del SITP, tiene interés en alternativas que reduzcan costos de renovación de flota y permitan mejorar el desempeño ambiental de sus vehículos.",6.0,"Sus decisiones afectan una flota relevante del SITP y pueden contribuir a validar modelos técnicos y financieros, pero no tiene capacidad para transformar el ecosistema de manera estructural.",,,,,,,5.0,"Puede contribuir mediante programas internos de inclusión, contratación y capacitación, aunque su alcance se limita principalmente a la gestión de su propia flota y personal."
34.0,Masivo Capital,Colombia, Operador de transporte público,"Empresa operadora de transporte público urbano en Bogotá con participación relevante en el sistema SITP. Su involucramiento permite evaluar los impactos operativos, económicos y de mantenimiento asociados a la implementación de soluciones retrofit en flotas de buses existentes.",Mantener informado,8.0,Es un potencial usuario de tecnologías retrofit y podría obtener beneficios económicos y operativos a partir de la modernización de activos actualmente en servicio.,6.0,"Controla activos relevantes dentro del transporte público urbano y puede influir mediante decisiones de adopción, aunque su poder se limita principalmente a su propia operación.",,,,,,,5.0,"La empresa puede apoyar la incorporación de mujeres en roles operativos y técnicos asociados a nuevas tecnologías de transporte, pero cuenta con una capacidad limitada para impulsar transformaciones sectoriales amplias."
35.0,SITP Móvil,Colombia, Operador de transporte público,Operador del Sistema Integrado de Transporte Público de Bogotá con experiencia en la administración y mantenimiento de flotas urbanas. Su participación resulta relevante para analizar oportunidades de electrificación mediante retrofit y validar requerimientos técnicos para su implementación.,Mantener informado,8.0,Opera flotas urbanas susceptibles de ser reconvertidas y puede beneficiarse de soluciones que prolonguen la vida útil de los vehículos y reduzcan emisiones.,6.0,"Posee capacidad de implementar tecnologías retrofit dentro de su flota y aportar experiencia operativa, pero no tiene influencia determinante sobre las reglas del mercado.",,,,,,,5.0,"Como operador de transporte puede implementar buenas prácticas de inclusión laboral y participación femenina, aunque con incidencia principalmente interna."
36.0,Consorcio Express,Colombia, Operador de transporte público,"Empresa concesionaria del Sistema Integrado de Transporte Público de Bogotá responsable de la operación de una porción significativa de la flota urbana. Su experiencia en gestión operacional permite aportar información estratégica sobre costos, mantenimiento y desempeño de tecnologías de retrofit.",Mantener informado,8.0,El retrofit puede convertirse en una alternativa atractiva para modernizar parte de su flota manteniendo controlados los costos de inversión y renovación.,6.0,"Es un operador importante del sistema de transporte público de Bogotá, aunque su capacidad de influencia está restringida a decisiones empresariales y operativas propias.",,,,,,,5.0,"Dispone de oportunidades para fortalecer la participación de mujeres en actividades operativas y técnicas del transporte público, contribuyendo a la transformación cultural del sector."
37.0,GIT Masivo,Colombia, Operador de transporte público,"Operador de transporte público urbano vinculado al sistema de movilidad de Bogotá. Su participación es relevante para identificar necesidades del sector, validar modelos de negocio y evaluar la factibilidad técnica de incorporar soluciones retrofit en la operación diaria de flotas urbanas.",Mantener informado,8.0,La posibilidad de extender la vida útil de buses y mejorar indicadores ambientales genera un interés relativamente alto en el desarrollo de soluciones retrofit.,6.0,"Puede participar en pilotos y procesos de adopción tecnológica, pero no dispone de capacidad regulatoria ni de una escala suficiente para modificar el mercado de forma significativa.",,,,,,,5.0,Su contribución potencial se concentra en programas de inclusión laboral y generación de oportunidades para grupos tradicionalmente subrepresentados dentro de la operación del transporte.
38.0,Metroplús,Colombia, Operador de transporte público,"Entidad encargada de la operación y gestión del sistema de transporte masivo del Valle de Aburrá. Su experiencia en movilidad sostenible, innovación tecnológica y operación de corredores de transporte la convierte en un actor relevante para identificar oportunidades de modernización y reconversión tecnológica de flotas.",Mantener informado,8.0,Participa directamente en la operación de transporte masivo y puede beneficiarse de alternativas que permitan acelerar la transición hacia tecnologías más limpias.,6.0,"Tiene capacidad para promover iniciativas dentro de su sistema de transporte y generar experiencias demostrativas, aunque su ámbito de influencia es principalmente local.",,,,,,,6.0,"Al ser un sistema de transporte con visibilidad pública, puede promover iniciativas de inclusión, accesibilidad, seguridad para mujeres y participación femenina en la operación de servicios de movilidad."
39.0,ADO Mobility,México, Operador de transporte público,"Empresa líder en transporte de pasajeros y movilidad en México con amplia experiencia en operación de autobuses urbanos e interurbanos. Su participación permite aportar conocimiento sobre gestión de flotas, evaluación económica de tecnologías emergentes y oportunidades de implementación de soluciones retrofit a gran escala.",Mantener satisfecho,8.0,"Como gran operador regional de transporte de pasajeros, puede encontrar ventajas económicas y operativas en soluciones retrofit aplicables a parte de sus flotas.",7.0,"Es uno de los mayores operadores de transporte de pasajeros de la región y sus decisiones de inversión pueden influir en fabricantes, proveedores y otros operadores del sector.",,,,,,,6.0,"Como uno de los mayores operadores de transporte de pasajeros de la región, tiene capacidad para implementar políticas corporativas de diversidad e inclusión con impacto significativo sobre su fuerza laboral."
40.0,MOVISA,México, Operador de transporte público,"Empresa operadora de transporte público en México con experiencia en gestión de flotas urbanas. Su participación es relevante para comprender necesidades operativas, criterios de renovación de vehículos y oportunidades de incorporación de tecnologías retrofit en sistemas de transporte colectivo.",Mantener informado,8.0,La modernización de vehículos existentes puede representar una alternativa relevante para mejorar eficiencia operacional y cumplimiento de objetivos ambientales.,6.0,"Posee capacidad para influir sobre sus operaciones y decisiones de flota, pero su alcance se limita principalmente a su actividad empresarial.",,,,,,,5.0,"Puede aportar mediante programas internos de diversidad y empleo inclusivo, aunque con una capacidad de incidencia relativamente limitada fuera de su ámbito organizacional."
41.0,CISA México,México, Operador de transporte público,"Empresa operadora de transporte público en México con experiencia en la gestión de flotas urbanas y prestación de servicios de movilidad colectiva. Su participación es relevante para evaluar la viabilidad operativa, financiera y técnica de soluciones retrofit, aportando información sobre costos, mantenimiento y desempeño de vehículos en condiciones reales de operación.",Mantener informado,8.0,"Como operador de transporte público urbano, enfrenta directamente los desafíos de renovación de flota, costos operativos y reducción de emisiones, por lo que el retrofit representa una herramienta potencial para mejorar su desempeño operacional.",6.0,"Puede impulsar la adopción de nuevas tecnologías dentro de su flota y aportar casos de referencia, aunque no tiene capacidad para alterar las condiciones generales del mercado.",,,,,,,5.0,"Como operador de transporte público urbano puede impulsar programas de inclusión laboral, contratación de mujeres conductoras y capacitación en nuevas tecnologías, aunque su capacidad de incidencia se concentra principalmente en su organización."
42.0,Subus,Chile, Operador de transporte público,"Operador del sistema de transporte público de Santiago de Chile con una de las flotas de buses urbanos más importantes del país. Su participación es estratégica para identificar oportunidades de reconversión tecnológica, validar requerimientos operacionales y evaluar el desempeño de tecnologías retrofit en servicios de alta demanda.",Mantener informado,8.0,Opera una parte importante de la flota del sistema RED Movilidad de Santiago y puede beneficiarse directamente de tecnologías que permitan extender la vida útil de los buses y reducir costos asociados a la transición energética.,6.0,"Es un operador relevante dentro del sistema RED Movilidad y puede influir mediante decisiones de adopción tecnológica, pero no controla las reglas del sistema.",,,,,,,6.0,"Ha participado en uno de los sistemas de transporte más avanzados de América Latina, donde la incorporación de mujeres conductoras y políticas de inclusión han ganado relevancia en los últimos años."
43.0,Metbus,Chile, Operador de transporte público,"Empresa concesionaria del sistema de transporte público de Santiago con amplia experiencia en operación de buses urbanos. Su participación permite aportar información sobre gestión de flotas, mantenimiento, costos operativos y potenciales beneficios asociados a programas de retrofit vehicular.",Mantener informado,8.0,"Como operador de transporte público urbano, tiene interés directo en soluciones que permitan modernizar vehículos existentes manteniendo la continuidad operacional y reduciendo emisiones.",6.0,"Tiene capacidad para implementar soluciones retrofit y demostrar su viabilidad operacional, aunque su influencia estructural sobre el mercado es limitada.",,,,,,,6.0,Como operador del sistema RED Movilidad puede contribuir activamente a la generación de empleo femenino y a la implementación de buenas prácticas de inclusión dentro de la operación de transporte público.
44.0,Vule,Chile, Operador de transporte público,Operador de transporte público urbano en Santiago de Chile responsable de la prestación de servicios en distintos corredores de la ciudad. Su participación es relevante para evaluar la aplicabilidad de soluciones retrofit y generar evidencia práctica sobre su implementación en flotas de transporte masivo.,Mantener informado,8.0,"La reconversión tecnológica de flotas puede impactar directamente sus costos operativos, cumplimiento ambiental y estrategia de renovación de activos, generando un interés importante en tecnologías retrofit.",6.0,"Puede influir en la modernización tecnológica de su propia flota y generar aprendizajes para otros operadores, pero carece de facultades regulatorias o sectoriales amplias.",,,,,,,6.0,Participa en un ecosistema donde la inclusión de mujeres en labores operativas y técnicas ha sido promovida como parte de la transformación del transporte público urbano.
45.0,STP Santiago,Chile, Operador de transporte público,"Empresa operadora del sistema RED Movilidad con experiencia en administración y mantenimiento de flotas de buses urbanos. Su participación es importante para analizar barreras operativas, requerimientos técnicos y condiciones necesarias para incorporar tecnologías retrofit en la operación regular del servicio.",Mantener informado,8.0,Participa activamente en la operación de buses urbanos y puede beneficiarse de iniciativas que faciliten la transición hacia tecnologías de cero o bajas emisiones mediante la modernización de flotas existentes.,6.0,"Como operador de transporte público puede promover la adopción de tecnologías retrofit en sus vehículos, aunque su capacidad de incidencia permanece concentrada en su propia organización.",,,,,,,6.0,"Como operador relevante dentro del sistema de transporte chileno, puede contribuir al fortalecimiento de programas de diversidad, equidad e inclusión laboral."
46.0,Redbus Urbano,Chile, Operador de transporte público,Operador de transporte público urbano perteneciente al sistema RED Movilidad de Santiago. Su experiencia en gestión de flotas y prestación de servicios de transporte masivo aporta información valiosa para la evaluación técnica y económica de alternativas de reconversión vehicular.,Mantener informado,8.0,Es un operador potencialmente beneficiario de programas de retrofit debido a la necesidad de mejorar el desempeño ambiental y económico de sus vehículos dentro del sistema de transporte público.,6.0,"Posee capacidad para validar tecnologías y modelos operativos asociados al retrofit, pero su influencia sobre el mercado es principalmente indirecta.",,,,,,,6.0,La operación de flotas y servicios de transporte ofrece oportunidades concretas para promover empleo femenino y desarrollo de capacidades en actividades tradicionalmente masculinizadas.
47.0,Allin Group,Perú, Operador de transporte público,"Grupo empresarial peruano con participación en la operación de servicios de transporte de pasajeros. Su involucramiento es relevante para identificar oportunidades de implementación de tecnologías retrofit en flotas urbanas, así como para evaluar modelos de negocio asociados a la modernización vehicular.",Mantener informado,8.0,"Como operador de transporte de pasajeros, puede utilizar el retrofit como una alternativa para modernizar sus flotas, reducir emisiones y optimizar inversiones en renovación vehicular.",6.0,"Controla decisiones relevantes sobre sus activos y procesos de modernización de flota, aunque no cuenta con capacidad para influir significativamente sobre el entorno regulatorio.",,,,,,,5.0,"Puede contribuir mediante políticas internas de diversidad e inclusión, aunque su capacidad de influencia sobre políticas sectoriales más amplias es limitada."
48.0,Etuchisa (Los Chinos),Perú, Operador de transporte público,Empresa operadora de transporte público en Lima reconocida por administrar una de las mayores flotas de buses de la ciudad. Su participación es fundamental para analizar la viabilidad de programas de retrofit en contextos urbanos de alta demanda y generar casos demostrativos para el mercado peruano.,Mantener satisfecho,8.0,Opera una de las flotas más representativas de Lima y constituye un usuario potencial directo de tecnologías retrofit que permitan mejorar la sostenibilidad y eficiencia de sus operaciones.,7.0,"Opera una de las mayores flotas de buses de Lima, lo que le otorga una capacidad relevante para generar demanda, validar tecnologías y orientar decisiones de mercado.",,,,,,,6.0,"Como uno de los operadores más reconocidos del transporte urbano peruano, puede generar impactos relevantes a través de programas de inclusión laboral y participación femenina en el sector."
49.0,Grupo Polo,Perú, Operador de transporte público,"Grupo empresarial con presencia en el sector transporte de pasajeros en Perú. Su participación permite aportar conocimiento sobre operación de flotas, gestión de activos y necesidades de modernización tecnológica que pueden ser atendidas mediante soluciones retrofit.",Mantener informado,8.0,Participa directamente en la operación de transporte de pasajeros y puede beneficiarse de estrategias de reconversión vehicular orientadas a extender la vida útil de los activos y disminuir costos de operación.,6.0,"Puede influir mediante sus decisiones de inversión y renovación de flota, aunque su alcance permanece limitado a su actividad empresarial.",,,,,,,5.0,"Tiene capacidad para implementar medidas corporativas de inclusión y diversidad, aunque con incidencia principalmente restringida a su estructura organizacional."
50.0,Marcopolo,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante líder de carrocerías para buses con amplia presencia en América Latina y participación en múltiples sistemas de transporte urbano. Su experiencia en diseño, integración vehicular y electromovilidad lo convierte en un actor estratégico para evaluar oportunidades técnicas de retrofit, adaptación de plataformas existentes y desarrollo de soluciones de bajas emisiones para flotas de transporte público.",Manejar de cerca,8.0,"La expansión del retrofit puede generar nuevas oportunidades de negocio asociadas a integración vehicular, rediseño, adaptación tecnológica y servicios especializados sobre flotas existentes, alineándose con sus capacidades industriales.",8.0,"Es uno de los fabricantes de carrocerías más importantes de América Latina y posee una elevada capacidad técnica, comercial y de integración vehicular para influir en la evolución del mercado de retrofit.",7.0,Fabricante líder de buses en América Latina cuya experiencia técnica y trayectoria le otorgan reconocimiento dentro de la industria y entre operadores de transporte.,8.0,"Participa activamente en la fabricación y despliegue reciente de buses eléctricos para sistemas de transporte público, incluyendo proyectos de expansión de flota eléctrica en Bogotá. ",5.0,"Puede articular fabricantes, operadores, carroceros y proveedores tecnológicos dentro de la cadena de valor del transporte, aunque su capacidad de convocatoria fuera del ámbito empresarial es limitada.",8.0,"Como líder regional en fabricación de buses tiene capacidad para promover inclusión en cadenas de suministro, formación técnica, empleo industrial femenino y programas corporativos de diversidad con impacto regional."
51.0,Busscar de Colombia,Colombia," Fabricante de buses, chasis o carrocerías","Fabricante colombiano de carrocerías para buses con amplia participación en sistemas de transporte urbano e intermunicipal. Su experiencia en diseño, fabricación e integración de vehículos de transporte público lo convierte en un actor estratégico para evaluar oportunidades de retrofit, adaptación tecnológica y desarrollo de soluciones de bajas emisiones para flotas existentes.",Manejar de cerca,8.0,"La modernización de vehículos en operación puede generar nuevas oportunidades comerciales relacionadas con adecuaciones estructurales, integración de componentes y servicios especializados para transporte público.",8.0,"Es uno de los principales fabricantes de carrocerías de buses de la región y posee capacidades técnicas, comerciales e industriales que pueden influir significativamente en la adopción de soluciones de retrofit para transporte público.",4.0,"Fabricante reconocido en el sector carrocero y de transporte de pasajeros, con legitimidad principalmente empresarial y técnica dentro de su segmento de mercado.",2.0,"Aunque posee capacidades industriales relevantes para el sector transporte, no se identifican iniciativas recientes de electromovilidad o liderazgo visible comparables con los demás actores prioritarios analizados.",2.0,"Su capacidad de articulación se concentra principalmente en clientes, operadores y socios comerciales, con poca influencia para coordinar actores diversos del ecosistema.",7.0,"Es una de las empresas carroceras más reconocidas de Colombia y puede promover inclusión laboral, formación técnica de mujeres y diversidad dentro de procesos manufactureros. Su capacidad de incidencia es relevante a nivel empresarial, aunque menor que la de actores con alcance regional."
52.0,Superpolo,Colombia," Fabricante de buses, chasis o carrocerías",Empresa especializada en la fabricación de carrocerías para buses y vinculada a proyectos de transporte público en Colombia y otros países de la región. Su conocimiento técnico sobre integración vehicular y requerimientos operativos de flotas urbanas aporta información relevante para la implementación de programas de retrofit.,Mantener satisfecho,7.0,"Tiene interés en el desarrollo de nuevas soluciones de movilidad sostenible y adaptación tecnológica de flotas, aunque el retrofit representa solamente una de varias oportunidades dentro de su actividad empresarial.",7.0,"Tiene experiencia en integración vehicular y fabricación de carrocerías, pudiendo influir en el desarrollo técnico de soluciones retrofit, aunque con una escala menor que los principales líderes regionales.",,,,,,,7.0,"Como fabricante líder en el mercado colombiano y regional, puede impulsar programas de equidad laboral, fortalecer la participación femenina en perfiles técnicos e influir sobre prácticas inclusivas dentro de la industria carrocera."
53.0,Inconcar,Perú," Fabricante de buses, chasis o carrocerías","Fabricante peruano de carrocerías para autobuses con experiencia en distintos segmentos del transporte de pasajeros. Su participación resulta relevante para identificar oportunidades de adaptación tecnológica, requerimientos de diseño y soluciones compatibles con procesos de reconversión de flotas existentes.",Mantener satisfecho,7.0,"La modernización de buses existentes puede generar oportunidades para servicios de integración y adaptación vehicular, aunque el retrofit no constituye actualmente el núcleo de su estrategia de negocio.",6.0,"Posee capacidades de fabricación e integración relevantes para el mercado peruano, pero su capacidad de incidencia sobre el desarrollo regional del retrofit es relativamente limitada.",,,,,,,6.0,"Posee capacidad para promover diversidad e inclusión dentro de sus procesos de manufactura y servicios asociados al transporte, aunque su alcance es principalmente nacional."
54.0,BYD,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante global líder en movilidad eléctrica y tecnologías de almacenamiento energético. Su experiencia en buses eléctricos, baterías y electrificación de flotas aporta conocimiento técnico, modelos de negocio y casos de referencia que pueden apoyar el desarrollo de estrategias de retrofit para transporte público.",Mantener satisfecho,3.0,Su negocio está enfocado principalmente en la venta de buses eléctricos nuevos y sistemas integrados de electromovilidad. El crecimiento del retrofit puede incluso sustituir parcialmente procesos tradicionales de renovación de flota.,8.0,"A pesar de su bajo interés relativo en el retrofit, posee una enorme capacidad tecnológica, financiera y comercial para influir sobre las decisiones de electrificación del transporte en América Latina.",,,,,,,8.0,"La empresa ha incorporado políticas globales de sostenibilidad, diversidad y desarrollo de talento. Su presencia internacional y liderazgo en electromovilidad le permiten influir sobre estándares corporativos y oportunidades laborales para mujeres en sectores tecnológicos."
55.0,Yutong,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Uno de los mayores fabricantes de buses del mundo y referente internacional en electromovilidad. Su experiencia en diseño, fabricación y operación de buses eléctricos proporciona información valiosa para evaluar alternativas tecnológicas de retrofit y programas de modernización de flotas urbanas.",Mantener satisfecho,3.0,"La empresa obtiene su principal beneficio de la comercialización de buses eléctricos nuevos. Aunque podría beneficiarse indirectamente de la expansión de la electromovilidad, el retrofit no forma parte central de su propuesta de valor.",8.0,"Es uno de los mayores fabricantes de buses del mundo y cuenta con capacidad para influir sobre tecnologías, estándares de mercado y estrategias de transición tecnológica en múltiples países.",,,,,,,7.0,"Como fabricante global de buses eléctricos, puede contribuir a generar oportunidades de formación, empleo y participación femenina dentro de cadenas de valor asociadas a la movilidad sostenible."
56.0,Foton,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías",Fabricante internacional de vehículos comerciales y buses con creciente participación en mercados de movilidad eléctrica. Su experiencia en tecnologías vehiculares y operación de flotas permite aportar conocimiento sobre soluciones de transición energética aplicables al transporte público.,Mantener satisfecho,4.0,"La expansión de tecnologías limpias puede favorecer indirectamente su posicionamiento en el mercado, pero el retrofit compite parcialmente con la venta de vehículos nuevos y no constituye una prioridad estratégica evidente.",7.0,"Tiene presencia creciente en mercados de movilidad sostenible y capacidad para influir sobre decisiones de flota, aunque con menor escala que líderes globales del sector.",,,,,,,6.0,"Dispone de capacidad para incorporar políticas corporativas de diversidad e inclusión, aunque la promoción de género no constituye uno de sus principales elementos diferenciadores."
57.0,King Long,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante de buses con presencia en distintos mercados de América Latina y experiencia en tecnologías de transporte de pasajeros. Su participación permite analizar estándares de fabricación, requerimientos técnicos y oportunidades de adaptación de plataformas vehiculares para procesos de retrofit.",Mantener satisfecho,4.0,"La empresa mantiene interés general en la electrificación del transporte, aunque el desarrollo de soluciones retrofit no representa actualmente un componente central de su actividad comercial.",7.0,Posee capacidades industriales y presencia regional que le permiten influir en decisiones tecnológicas de operadores y autoridades de transporte.,,,,,,,6.0,"Puede impulsar programas de inclusión laboral y formación técnica dentro del sector manufacturero, aunque con menor visibilidad en iniciativas de género que otros líderes globales."
58.0,Volvo Buses,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante global de buses y soluciones de transporte sostenible con amplia experiencia en electromovilidad y tecnologías de bajas emisiones. Su participación es relevante para aportar buenas prácticas internacionales, conocimiento técnico y experiencias aplicables a la reconversión de flotas urbanas.",Mantener satisfecho,4.0,"Su estrategia se orienta principalmente hacia la venta de nuevas plataformas de transporte sostenible. El retrofit puede contribuir a la transición energética, pero no necesariamente impulsa su modelo principal de negocio.",8.0,"Es un referente mundial en transporte público sostenible. Sus decisiones tecnológicas, comerciales y estratégicas tienen capacidad para influir significativamente sobre el sector.",,,,,,,9.0,"La compañía posee una trayectoria consolidada en diversidad, inclusión y sostenibilidad corporativa a nivel global. Además, puede influir sobre proveedores, operadores y clientes mediante estándares corporativos avanzados."
59.0,Scania,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante líder de vehículos pesados y buses con una fuerte presencia en sistemas de transporte público de América Latina. Su experiencia en innovación tecnológica, eficiencia energética y electrificación de flotas aporta elementos clave para el desarrollo de estrategias de retrofit vehicular.",Mantener satisfecho,4.0,"Aunque promueve tecnologías de bajas emisiones, obtiene mayores beneficios de la renovación de flota mediante nuevos vehículos, por lo que su interés en el retrofit es relativamente limitado.",8.0,"La compañía posee fuerte influencia técnica y comercial en el mercado latinoamericano de buses y vehículos pesados, pudiendo orientar tendencias de transición tecnológica.",,,,,,,9.0,"Ha desarrollado estrategias corporativas explícitas de diversidad, inclusión y desarrollo de talento femenino. Su liderazgo internacional le permite promover cambios significativos dentro del sector transporte."
60.0,Mercedes-Benz Buses,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante internacional de buses y chasis con amplia presencia en los sistemas de transporte urbano de la región. Su experiencia en diseño de vehículos, seguridad, nuevas tecnologías y movilidad sostenible resulta relevante para evaluar oportunidades de reconversión tecnológica y transición hacia flotas de bajas emisiones.",Mantener satisfecho,4.0,"La compañía mantiene interés general en la evolución de la movilidad sostenible, pero el retrofit puede representar una alternativa sustitutiva frente a la adquisición de nuevas unidades, reduciendo su incentivo directo.",8.0,Es uno de los fabricantes con mayor presencia histórica en transporte público de la región y cuenta con capacidad relevante para influir en decisiones de modernización de flotas.,,,,,,,9.0,"Como parte de uno de los principales grupos industriales del mundo, cuenta con programas institucionales de diversidad e inclusión y capacidad para influir sobre las prácticas laborales de una amplia cadena de valor."
61.0,IVECO Bus,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante internacional de buses y vehículos comerciales con presencia relevante en América Latina y experiencia en tecnologías de movilidad sostenible. Su participación es importante para evaluar oportunidades de electrificación, adaptación tecnológica y desarrollo de soluciones que faciliten la reconversión de flotas urbanas mediante esquemas de retrofit vehicular.",Mantener satisfecho,4.0,"Aunque participa en el mercado de buses y vehículos comerciales, su principal interés se encuentra en la comercialización de nuevas unidades. El retrofit puede contribuir indirectamente a la transición del sector, pero no constituye una línea prioritaria de negocio.",7.0,Posee capacidad para influir sobre segmentos específicos del mercado de transporte público y contribuir al desarrollo de nuevas soluciones tecnológicas para flotas.,,,,,,,7.0,"Como fabricante global de vehículos comerciales puede promover programas de diversidad, inclusión y formación técnica especializada para mujeres en actividades tradicionalmente masculinizadas de la industria automotriz."
62.0,Agrale,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías",Fabricante brasileño de chasis y vehículos comerciales con amplia presencia en el transporte público latinoamericano. Su conocimiento técnico sobre plataformas de buses y soluciones para movilidad sostenible aporta elementos relevantes para analizar la viabilidad de procesos de retrofit en flotas existentes.,Hacer seguimiento,4.0,"Mantiene interés general en la evolución tecnológica del transporte público, pero obtiene mayores beneficios de la fabricación y comercialización de nuevos vehículos que de la reconversión de flotas existentes.",6.0,"Su influencia se concentra en determinados nichos de mercado y territorios específicos, con una capacidad moderada para orientar el desarrollo del sector.",,,,,,,6.0,"Posee capacidad para impulsar políticas corporativas de inclusión laboral y participación femenina dentro de procesos manufactureros, aunque con una influencia regional más limitada que otros fabricantes globales."
