#,Actor,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero,Observaciones
32.0,Ministerio de la Mujer y la Equidad de Género (Chile),"Género, inclusión y equidad",Entidad gubernamental responsable de diseñar y coordinar las políticas de igualdad de género y participación económica de las mujeres.,Manejar de cerca,7.0,"Su interés es concreto y con meta cuantificada: co-financia el programa Energía+Mujeres con el objetivo de 5.000 mujeres líderes en el sector energético para 2030, no solo un ámbito ""consistente"" con sus objetivos generales.",8.0,"Financia junto al Ministerio de Energía el programa Energía+Mujeres, con la meta de incorporar 5.000 mujeres líderes al sector energético para 2030, y adjudicó un fondo propio para formar liderezas regionales en energía.",8.0,"Es la entidad rectora de las políticas de igualdad de género en Chile, con autoridad institucional indiscutible en esa materia. Pero su legitimidad específica dentro del ecosistema de electromovilidad es transversal (aplica un enfoque de género sobre programas de otros organismos), no una autoridad directa sobre vehículos, infraestructura o regulación energética.",5.0,"Su propia justificación institucional enmarca la transición energética y el acceso de las mujeres a nuevos empleos como algo ""consistente con sus objetivos institucionales"". Un ámbito alineado y de apoyo, no una prioridad de acción directa y urgente sobre la electromovilidad en sí misma.",7.0,"Mantiene una coordinación permanente con ministerios, organismos públicos y actores privados, según su propia justificación institucional, promoviendo medidas para reducir brechas de género en sectores estratégicos.",10.0,"Su misión institucional completa es la política de género — no tiene una ""línea de género"" dentro de otra agenda, la política de género es la agenda completa",energia.gob.cl/noticias/nacional/programa-energiamujeres-pretende-incorporar-5-mil-lideresas-para-el-sector-al-2030
33.0,BYD Chile,"Fabricante de buses, chasis o carrocerías","Fabricante de vehículos eléctricos, buses y baterías con presencia comercial en Chile.",Manejar de cerca,10.0,"Se asoció con Metbus para implementar los primeros 100 buses eléctricos de Chile, incluyendo flota y cargadores desde el inicio del sistema.",7.0,Su capacidad tecnológica global y su participación como proveedor de buses de Red Movilidad le otorgan alta influencia sobre la oferta de vehículos eléctricos.,5.0,"Se asoció con Metbus para implementar en conjunto tanto los buses como los cargadores en el lanzamiento del ecosistema de electromovilidad de Red Movilidad, un rol fundacional documentado en la integración del sistema, no solo de proveedor genérico.",9.0,"Su propia descripción institucional declara que ""la electromovilidad es el núcleo de su negocio"" tanto en buses como en vehículos livianos eléctricos en Chile",6.0,Coordinó directamente con un operador de transporte público (Metbus) para desplegar conjuntamente flota y cargadores,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,"https://www.byd.com/co/news-list/flota-buses-byd-chile
https://energia.gob.cl/electromovilidad/transporte-de-pasajeros/buses-electricos-red
https://energia.gob.cl/electromovilidad/transporte-de-pasajeros/buses-electricos-red"
34.0,Yutong Chile,"Fabricante de buses, chasis o carrocerías",Fabricante internacional especializado en buses urbanos y eléctricos.,Manejar de cerca,10.0,Sus buses fueron adoptados por Vule y STP desde las primeras etapas de electrificación de Red Movilidad.,6.0,"Cuenta con capacidad para abastecer flotas públicas de gran escala y sus modelos operan en Red Movilidad, aunque su influencia local es menor que la de BYD.",4.0,"Sus buses fueron adoptados por dos operadores del sistema (Vule y STP) desde las primeras etapas de electrificación de Red Movilidad, presencia en el arranque del ecosistema.",7.0,"Es un fabricante especializado en buses urbanos y eléctricos, con oferta centrada en esta tecnología, aunque su descripción institucional no declara la electromovilidad como el núcleo exclusivo de su negocio como sí lo hace BYD.",5.0,Coordinó su suministro con dos operadores de transporte público distintos (Vule y STP) para la implementación de flota eléctrica.,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,"https://www.red.cl/red-comunica/mejoras-del-sistema/red-movilidad-214-nuevos-buses-electricos-renovaran-la-cobertura-del-sector-sur-de-santiago/
https://energia.gob.cl/electromovilidad/transporte-de-pasajeros/buses-electricos-red"
35.0,Foton Chile,"Fabricante de buses, chasis o carrocerías","Fabricante de buses, camiones y vehículos comerciales eléctricos.",Mantener informado,9.0,Sus buses eléctricos operan en Red Movilidad y dispone de oferta eléctrica para carga y transporte de pasajeros.,5.0,"Su presencia en distintos segmentos le permite influir en la electrificación del transporte público, logístico y comercial.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.fotonmotor.com/Chile.html
36.0,Volvo Buses Chile,"Fabricante de buses, chasis o carrocerías",Fabricante internacional de buses y soluciones de transporte pesado.,Mantener informado,8.0,"Ha realizado demostraciones de su bus eléctrico BZL en Santiago, pero todavía registra menor despliegue que los fabricantes chinos.",5.0,"Es un proveedor histórico relevante en Santiago, con pedidos de hasta 564 buses, aunque su presencia eléctrica local aún es limitada.",,,,,,,4.0,"Grupo Volvo reconocido globalmente por políticas de diversidad e inclusión, de carácter general.",https://www.volvobuses.com/en/news-stories/press-releases/2022/mar/major-order-for-santiago.html
37.0,Mercedes-Benz Chile,"Fabricante de buses, chasis o carrocerías","Fabricante de buses, camiones, vans y automóviles representado en Chile por Kaufmann.",Mantener informado,7.0,"Presentó en Red Movilidad el bus eléctrico eO500U y comercializa vans y camiones eléctricos, aunque su despliegue local todavía es inicial.",5.0,"Su red comercial, servicio posventa y oferta para transporte pesado le otorgan capacidad para introducir tecnología eléctrica en varias industrias.",,,,,,,4.0,"Grupo Mercedes-Benz/Daimler reconocido globalmente por políticas de diversidad, de carácter general.",https://www.kaufmann.cl/noticia/noticias/buses/chile-avanza-en-movilidad-sustentable-con-el-primer-bus-electrico-de-mercedes-benz-?categoria=Buses
38.0,Scania Chile,"Fabricante de buses, chasis o carrocerías","Fabricante de buses y camiones para transporte público, carga y minería.",Mantener informado,7.0,Introdujo en 2024 su primer tractocamión 100 % eléctrico en Chile junto con PepsiCo y mantiene una estrategia explícita de electrificación.,5.0,Su posición en vehículos pesados y relación con grandes empresas le permiten influir en la electrificación de flotas comerciales.,,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.scania.com/cl/es/home/about-scania/newsroom/news/2024/primer-tracto-camion-100--electrico.html
39.0,MAN Chile,"Fabricante de buses, chasis o carrocerías","Fabricante internacional de buses, camiones y vehículos comerciales.",Hacer seguimiento,5.0,"Cuenta con tecnologías eléctricas internacionalmente, pero no se identificaron proyectos locales relevantes o flotas eléctricas de gran escala.",3.0,"Posee capacidad tecnológica global, pero su presencia e influencia comprobable en la electromovilidad chilena son reducidas.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.tesla.com/es_cl
40.0,Zhongtong,"Fabricante de buses, chasis o carrocerías","Fabricante chino de buses, incluidos modelos completamente eléctricos.",Mantener informado,8.0,"Mantiene buses eléctricos operativos en Santiago, aunque con una presencia más acotada dentro del sistema.",3.0,"Sus vehículos forman parte de la flota eléctrica de Red Movilidad, pero su escala e influencia institucional son menores que las de los principales proveedores.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
41.0,King Long,"Fabricante de buses, chasis o carrocerías","Fabricante chino de buses urbanos, interurbanos y eléctricos.",Mantener informado,8.0,"Cuenta con buses eléctricos incorporados al sistema de Santiago, aunque en cantidades menores que BYD, Yutong o Foton.",3.0,"Participa como proveedor de Red Movilidad, pero no posee una posición dominante ni elevada capacidad de articulación local.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
42.0,Tesla Chile (presencia comercial),"Fabricante de buses, chasis o carrocerías","Fabricante de automóviles eléctricos, baterías y soluciones energéticas.",Mantener informado,9.0,"Su portafolio está totalmente orientado a vehículos eléctricos y almacenamiento, aunque no se identifican proyectos chilenos de transporte público o fabricación",4.0,"Su marca y capacidad tecnológica global influyen en el mercado de vehículos eléctricos particulares, pero su incidencia en flotas públicas e industria local es limitada.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
43.0,Copec Voltex,Empresa de energía e infraestructura de carga,Unidad de Copec especializada en carga eléctrica para vehículos y flotas.,Manejar de cerca,10.0,"La electromovilidad es una línea central de su negocio, con soluciones de carga pública, privada y para buses eléctricos.",7.0,Participó en la construcción de electroterminales durante la licitación 2023-2024 que incorporó 1.267 nuevos buses eléctricos a Red Movilidad.,5.0,Participó activamente en la construcción de electroterminales durante la licitación 2023-2024 que incorporó 1.267 nuevos buses eléctricos al sistema Red Movilidad.,9.0,"Su propia justificación institucional declara la electromovilidad como ""una línea central de su negocio"", con soluciones para carga pública, privada y de buses eléctricos.",6.0,"Se articula de manera permanente con operadores de transporte, empresas energéticas, autoridades públicas, fabricantes y clientes corporativos, según su propia justificación institucional.",4.0,"Reconoce tener políticas corporativas de diversidad, pero ""la integración de género no representa un eje principal de su actividad en electromovilidad"".","https://ww2.copec.cl/empresas/electroterminales
 https://latamobility.com/chile-licitacion-buses-electricos-la-araucania-2026
https://latamobility.com/chile-licitacion-buses-electricos-la-araucania-2026"
44.0,Enel X Way,Empresa de energía e infraestructura de carga,Empresa especializada en infraestructura y gestión de carga eléctrica.,Manejar de cerca,10.0,"Su actividad está directamente enfocada en cargadores residenciales, públicos y soluciones integrales para flotas.",7.0,"Cuenta con respaldo internacional, capacidad tecnológica y más de 530 puntos de carga reportados en Chile en 2024.",5.0,"Reportó más de 530 puntos de carga en Chile en 2024, una cifra concreta y verificable de infraestructura desplegada",9.0,"Su actividad está directamente enfocada en cargadores residenciales, públicos y soluciones integrales para flotas. La expansión de la electromovilidad es descrita como una prioridad de su modelo de negocio, no una línea secundaria.",6.0,"Mantiene relaciones con operadores de transporte, empresas energéticas, organismos públicos, fabricantes y grandes usuarios, según su propia justificación institucional .",4.0,"Lineamientos corporativos de diversidad del Grupo Enel, de carácter general.","https://www.enelx.com/cl/es/historias/2024/06/Enel-X-Parque-Arauco-Centro-de-Carga-Publica-Autos-Electricos
 https://www.enelx.com/cl/es/historias/2024/06/Enel-X-Parque-Arauco-Centro-de-Carga-Publica-Autos-Electricos"
45.0,Enel Chile,Empresa de energía e infraestructura de carga,"Grupo energético con actividades de generación, distribución y servicios eléctricos.",Manejar de cerca,7.0,"Su liderazgo en carga pública (735 puntos) es el resultado directo de tratar la electromovilidad como línea de negocio prioritaria dentro de su unidad de infraestructura, no un subproducto de su negocio principal.",7.0,"Consolidó su liderazgo en infraestructura de carga pública en Chile, con 735 puntos operativos desde Arica a Punta Arenas, incluidos 220 cargadores rápidos de alta potencia ",5.0,"Su infraestructura eléctrica, capacidad financiera y presencia en Santiago le permiten habilitar proyectos de carga de gran escala, aunque su justificación no incluye una cifra propia de despliegue ni tiene fuente citada en el archivo.",5.0,"Su propia justificación institucional es explícita: ""la electromovilidad es solo una parte de su negocio"". No está descrita como una prioridad estratégica central, sino como una contribución dentro de un portafolio energético mucho más amplio.",6.0,"Su amplia presencia en el sector energético le permite coordinar acciones con organismos públicos, empresas privadas, operadores de transporte y actores tecnológicos, según su propia justificación institucional.",4.0,"Políticas corporativas consolidadas de diversidad, inclusión y equidad de género, de carácter general.",https://es.marketscreener.com/noticias/enel-chile-s-a-memoria-anual-integrada-enel-chile-2025-ce7e50dede8cf727
46.0,ENEX,Empresa de energía e infraestructura de carga,Empresa energética y operadora de estaciones de servicio que desarrolla soluciones de carga.,Manejar de cerca,8.0,"Su red Enex E-Pro tiene entre 58 y 60 puntos de carga rápida entre Arica y Puerto Montt, y firmó un acuerdo con Minera Centinela para operar la flota de camionetas eléctricas más grande del país (50 camionetas, 42 puntos de carga).",6.0,"Su red de estaciones y clientes empresariales le permite ampliar la infraestructura de carga, aunque su despliegue es menor que el de Copec y Enel.",4.0,"Opera Enex E-Pro y ha desarrollado infraestructura de carga para operaciones mineras, una actividad real pero sin cifra propia citada ni fuente en el archivo, y su propia justificación reconoce que su despliegue territorial es menor que el de otros actores del sector energético.",6.0," La electromovilidad es descrita en su justificación como ""una oportunidad relevante para la diversificación y modernización de su oferta"". Como una motivación de negocio real, pero no enmarcada como prioridad central como en el caso de Copec Voltex o Enel X Way.",5.0,"Se relaciona con empresas de transporte, clientes corporativos, autoridades y proveedores tecnológicos, según su propia justificación institucional.",4.0,"Políticas corporativas generales; ""no constituye un componente central de su estrategia sectorial"".",https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2025/03/18/empresa-chilena-enex-licenciataria-de-shell-impulsa-la-electromovilidad-con-red-de-carga-rapida.shtml
47.0,Transelec,Empresa de energía e infraestructura de carga,Principal empresa de transmisión eléctrica de alta tensión de Chile.,Mantener satisfecho,3.0,"Su contribución es principalmente indirecta, fortaleciendo la red, sin proyectos relevantes propios de vehículos o cargadores.",7.0,"Opera más de 10.000 km de líneas de alta tensión y 79 subestaciones, abasteciendo mediante su red aproximadamente al 98 % de la población.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.transelec.cl/memoria-2024/
48.0,ISA Interchile,Empresa de energía e infraestructura de carga,Empresa que opera líneas estratégicas de transmisión eléctrica en Chile.,Mantener satisfecho,3.0,Su rol es habilitador e indirecto; no se identifican inversiones significativas propias en carga o flotas eléctricas.,6.0,Sus líneas permiten transportar energía renovable entre el norte y los principales centros de consumo del país.,,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
49.0,Engie Chile,Empresa de energía e infraestructura de carga,"Empresa de generación y soluciones energéticas para industria, minería y transporte.",Manejar de cerca,6.0,"Implementó una flota de 100 buses eléctricos para Transantiago, y desde 2024 provee energía limpia a UC Christus (80%+ de su consumo), incluyendo un hub de carga de 22 puntos inaugurado en diciembre 2025.",7.0,"Posee capacidad financiera, energética y tecnológica para desarrollar soluciones integrales de electrificación de flotas.",4.0,"Es reconocida como actor en transición energética y descarbonización con participación en proyectos de energía limpia y transporte sostenible, aunque su justificación no incluye una cifra propia de infraestructura desplegada.",5.0,"Su propia justificación enmarca la electromovilidad como parte de ""un portafolio energético más amplio"", manteniendo ""un interés relevante"" pero sin describirla como su línea de negocio central.",6.0,"Cuenta con capacidad para articular actores públicos y privados, según su propia justificación institucional.",5.0,"Sus políticas corporativas ""fortalecen la integración de género"", aunque siguen siendo generales.","https://www.engie.cl/wp-content/uploads/2023/04/Memoria-Integrada-Engie-Energia-Chile-2022_compressed-2.pdf
energia.gob.cl/electromovilidad/compromiso-publico-privado/estaciones_de_carga; logistica360chile.cl, dic. 2025"
50.0,Colbún,Empresa de energía e infraestructura de carga,Empresa chilena de generación y comercialización de electricidad.,Mantener satisfecho,3.0,"Implementó nueve electrolineras con Walmart y cargadores en sus instalaciones, pero su actividad directa sigue siendo limitada.",6.0,Cuenta con cerca de 3.800 MW de capacidad instalada y recursos para suministrar energía y desarrollar soluciones para empresas.,,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.colbun.cl/memoria-2021/pdf/1-0-quienes_somos.pdf
51.0,CGE,Empresa de energía e infraestructura de carga,Empresa distribuidora de electricidad con presencia en numerosas regiones de Chile.,Mantener satisfecho,5.0,"Desarrolló un plan de electromovilidad y una red inicial de cinco electrolineras, aunque actualmente actúa principalmente como distribuidor.",6.0,Su amplia zona de concesión le permite habilitar o condicionar conexiones y aumentos de potencia para cargadores.,,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,https://www.cge.cl/wp-content/uploads/2020/11/CGE_REPORTE_2019_4baja.pdf
52.0,Saesa,Empresa de energía e infraestructura de carga,Grupo de distribución y transmisión eléctrica con presencia principal en el sur de Chile.,Hacer seguimiento,4.0,"Su participación se concentra en facilitar suministro e iniciativas regionales, sin evidencia de proyectos propios de gran escala.",5.0,"Puede habilitar conexiones e infraestructura de carga en su zona de operación, pero su influencia nacional es limitada.",,,,,,,1.0,No se encontró evidencia de un programa o política de género específica en su operación en Chile.,
53.0,Red Movilidad,Autoridad de transporte público,Sistema integrado de transporte público metropolitano de Santiago.,Manejar de cerca,10.0,"En 2026 alcanzó cerca de 4.400 buses eléctricos, equivalentes al 68 % de su flota, consolidando la electrificación como eje central del sistema.",9.0,"Sus licitaciones y estándares determinan gran parte de la demanda nacional de buses, operadores, terminales e infraestructura de carga.",8.0,"Es el sistema con la mayor flota de buses eléctricos fuera de China, con 4.400 unidades y 55 electroterminales proyectados a marzo de 2026, resultado de una política pública iniciada en 2017",10.0,"Los buses eléctricos pagan solo 5% de IVA y están exentos de aranceles de importación, frente al 19% de IVA y hasta 35% de aranceles para vehículos de combustión — una diferencia de costos del 54% que evidencia que la electrificación de este sistema es una prioridad activa de política tributaria, no solo una meta declarada.",8.0,"Coordina permanentemente operadores, fabricantes, autoridades públicas y proveedores tecnológicos, según su propia justificación institucional, es el nodo central del ecosistema completo de electromovilidad de transporte público en Chile.",7.0,Ha promovido iniciativas de inclusión y participación de mujeres dentro del transporte público.,"https://www.reporteminero.cl/noticia/energias-limpias/2026/02/santiago-supera-los-4000-buses-electricos-y-consolida-la-mayor-flota-cero-emision-de-latinoamerica
 https://www.mtt.gob.cl/archivos/38082
 https://mobilityportal.lat/santiago-consolida-flota-buses-electricos/"
54.0,Metro de Santiago,Operador de transporte público,Empresa estatal encargada del transporte ferroviario urbano de Santiago.,Manejar de cerca,10.0,"Su operación es completamente eléctrica, aunque su actividad no está directamente vinculada con la fabricación o carga de vehículos de carretera.",8.0,"Participa en cerca del 70% de los viajes de toda la Red Metropolitana de Movilidad y transportó 2,2 millones de pasajeros en un día laboral promedio en 2025.",6.0,"Es una empresa estatal con una escala de pasajeros e integración con la red de buses que le otorgan una influencia real sobre la movilidad metropolitana de Santiago, aunque su rol dentro de este proyecto específico de electromovilidad de vehículos de carretera es indirecto.",3.0,"Su propia justificación institucional es explícita: su operación ""es completamente eléctrica, aunque su actividad no está directamente vinculada con la fabricación o carga de vehículos de carretera"" — es decir, ya es 100% eléctrico por naturaleza de ser un sistema ferroviario, no porque esté ejecutando una transición activa como los operadores de buses.",5.0,"Su integración física y operativa con la red de buses de Red Movilidad le da un rol de coordinación real dentro de la movilidad metropolitana, aunque no participa directamente en las decisiones de electrificación de flota o infraestructura de carga.",6.0,"Tiene un programa formal de formación de conductoras de trenes, con meta pública de 28% de participación femenina para 2027, parte de sus compromisos ASG.",https://www.metro.cl/documentos/Presentacion_de_resultados_Metro_2025.pdf
